SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
165,ARIYALUR,Jayankondam,PUMS-PUDHUCHAVADI,P.U.M.SCHOOL PUDHUCHAVADIUDAYARPALAYAM TK ARIYALUR,621802,
166,ARIYALUR,Jayankondam,PUMS-SALUPPAI,WEST STREET SALLUPAIP THAIYAL NAAYGI HM GANAGAI KONDA CHOLA PURAM,612903,
167,ARIYALUR,Jayankondam,PUMS-SUNDIPALLAM,PANCHAYAT UNION MIDDLE SCHOOL SUNDIPALLAM MUTHUSERVAMADAM PO UDAYARPALAYAM T.K ARIYALUR D.T.S. KIRUSHNAKUMARI 34/11 MADURA COMLEX SOUTH VELLALAR STREET JAYANKONDAM P.O UDAYARPALAYAM T.K AR,612903,
168,ARIYALUR,Jayankondam,PUMS-T.KUDIKADU,PUM SCHOOL T.KUDIKADUUDAYARPALAYAM TALUK,621804,
169,ARIYALUR,Jayankondam,PUMS-THAZHUTHAZAIMEDU,PANCHAYAT UNION MIDDLE SCHOOL MAIN ROAD THAZHUTHAZHAIMEDU PO UDAYARPALAYAM T.K ARIYALUR D.T.K THIRUMURUGAN 5/120 COLONY STREET KUNDAVELI P.O UDAYARPALAYAM T.K ARIYALUR D T.,612903,
170,ARIYALUR,Jayankondam,PUMS-UDAIYARPALAYAM NORTH,PUMS UDAYARPALAYAM PALLIVASAL STREETPALLIVASL STREET,621804,
171,ARIYALUR,Jayankondam,PUMS-VANAVANALLUR,VANAVANALLURVANAVANALLUR,612901,
172,ARIYALUR,Jayankondam,PUMS-VANGUDI,METTU STREET VANGUDI POST JAYANKONDAM BLOCK ARIYALUR DIST.,612903,
173,ARIYALUR,Jayankondam,PUMS-VEERABOGAM,KATTAGARAM POST UDAYARPALAYAM (TK),612903,
174,ARIYALUR,Jayankondam,R C FATHIMA HS VADAVEEKKAM,RC FATHIMA HIGH SCHOOL VADAVEEKAMKALLATHUR - THANDALAI (PO),621803,
175,ARIYALUR,Jayankondam,RAJA SATHA BAKKIYAM HIGH SCHOOL THULARANKURICHI,E.S.KALVI VALAGAM THULARANKURICHIUDAYARPALAYAM(PO & TK) ARIYALUR (DT),621804,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
176,ARIYALUR,Jayankondam,RAJAN MIDDLE SCHOOL OKKANATHAM,rajan middle schoolokkanatham,621804,
177,ARIYALUR,Jayankondam,SRI ANNAI MATRICULATION SCHOOL UDAYARAPALAYAM,ANNAI MATRICULATION SCHOOL PERINAYAGI KOVIL SILAL ROAD UDAYARPALAYAM UDAYARPALAYAM (TK) ARIYALUR (DT) 621804PERIYANAYAGI AMMAN KOVIL SILAL ROAD UDAYARPALAYAM,621804,
178,ARIYALUR,Jayankondam,SRI LAKSHMI VIDYALAYA PUBLIC SCHOOL,Jayankondam village Udayarpalayam Taluk Ariyalur District 621802,621802,
179,ARIYALUR,Jayankondam,ST ANDREW S MATRIC SCHOOL-JAYANKONDAM,VELAYUTHA NAGAR9th cross,621802,
